jan_country,jancd,itemnm,scat1cd,scat1nm,scat2cd,scat2nm,scat3cd,scat3nm,scat4cd,scat4nm,scatnm,makercd,makernm,itemkikaku
244,739,739,739,739,739,739,739,739,18,18,739,258,258,739
245,28,28,28,28,28,28,28,28,4,4,28,17,17,28
246,3,3,3,3,3,3,3,3,1,1,3,2,2,3
247,4,4,4,4,4,4,4,4,1,1,4,4,4,4
248,73,73,73,73,71,71,69,69,6,6,73,22,22,73
249,8,8,8,8,8,8,8,8,4,4,8,6,6,8
25,1,1,1,1,1,1,1,1,0,0,1,1,1,1
250,894,894,894,894,894,894,891,891,12,12,894,293,280,894
251,34,34,34,34,34,34,33,33,6,6,34,31,31,34
252,16,16,16,16,16,16,16,16,10,10,16,14,14,16
253,12,11,12,12,12,12,12,12,2,2,12,11,11,12
254,5,5,5,5,5,5,5,5,1,1,5,2,2,5
255,10,10,10,10,10,10,10,10,2,2,10,8,8,10
256,11,11,11,11,11,11,11,11,0,0,11,4,4,11
257,10,10,10,10,10,10,10,10,8,8,10,9,8,10
258,3,3,3,3,3,3,3,3,0,0,3,1,1,3
259,31,31,31,31,31,31,31,31,0,0,31,8,8,31
26,1,1,1,1,1,1,1,1,0,0,1,1,1,1
260,64,64,64,64,64,64,64,64,3,3,64,40,10,64
261,1,1,1,1,1,1,1,1,1,1,1,1,1,1
262,10,10,10,10,10,10,9,9,2,2,10,8,8,10
263,3,3,3,3,3,3,3,3,0,0,3,3,3,3
264,17,17,17,17,17,17,17,17,0,0,17,7,7,17
265,7,7,7,7,7,7,6,6,0,0,7,0,0,7
266,177,177,177,177,177,177,177,177,14,14,177,77,50,177
267,110,110,110,110,110,110,110,110,14,14,110,73,36,110
268,88,87,88,88,88,88,88,88,8,8,88,57,26,88
269,49,49,49,49,49,49,49,49,0,0,49,29,27,49
270,53,53,53,53,53,53,52,52,0,0,53,4,4,53
271,14,14,14,14,14,14,14,14,0,0,14,9,9,14
272,4,4,4,4,4,4,4,4,0,0,4,2,2,4
273,100,100,100,100,100,100,99,99,0,0,100,15,15,100
274,15,15,15,15,15,15,15,15,1,1,15,15,14,15
275,26,26,26,26,26,26,26,26,12,12,26,23,20,26
276,37,37,37,37,37,37,30,30,14,14,37,30,30,37
277,9,9,9,9,9,9,9,9,0,0,9,2,2,9
278,44,44,44,44,44,44,43,43,12,12,44,42,41,44
279,22,22,22,22,22,22,22,22,16,16,22,22,22,22
280,183,183,183,183,183,183,172,172,11,11,183,26,26,183
281,43,43,43,43,43,43,42,42,5,5,43,28,28,43
282,15,15,15,15,15,15,14,14,2,2,15,13,12,15
283,6,6,6,6,6,6,6,6,0,0,6,3,3,6
284,19,19,19,19,19,19,19,19,3,3,19,18,18,19
285,2,2,2,2,2,2,2,2,0,0,2,2,2,2
286,6,6,6,6,6,6,6,6,2,2,6,3,3,6
287,3,3,3,3,3,3,3,3,2,2,3,3,3,3
289,35,35,35,35,35,35,35,35,6,6,35,12,11,35
29,1,1,1,1,1,1,1,1,0,0,1,1,1,1
290,259,259,259,259,258,258,256,256,9,9,259,88,88,259
291,76,75,76,76,76,76,73,73,1,1,76,40,40,76
292,36,36,36,36,36,36,36,36,0,0,36,19,19,36
293,87,86,87,87,87,87,86,86,20,20,87,38,38,87
294,10,10,10,10,10,10,10,10,6,6,10,8,7,10
295,8,8,8,8,8,8,8,8,2,2,8,8,8,8
296,17,17,17,17,17,17,17,17,0,0,17,14,14,17
298,1,1,1,1,1,1,1,1,0,0,1,0,0,1
299,2,2,2,2,2,2,2,2,0,0,2,0,0,2
30,1,1,1,1,1,1,1,1,0,0,1,1,1,1
300,41,41,41,41,41,41,41,41,0,0,41,15,10,41
301,187,187,187,187,185,185,184,184,0,0,187,127,119,187
302,124,124,124,124,124,124,124,124,3,3,124,102,91,124
303,58,58,58,58,58,58,57,57,0,0,58,37,30,58
304,369,368,369,369,369,369,368,368,1,1,369,260,226,369
305,85,85,85,85,85,85,85,85,0,0,85,26,25,85
306,38,38,38,38,38,38,38,38,18,18,38,29,25,38
307,43,43,43,43,43,43,39,39,0,0,43,11,9,43
308,15,15,15,15,15,15,15,15,2,2,15,11,11,15
309,11,11,11,11,11,11,11,11,7,7,11,9,9,11
310,157,157,157,157,157,157,157,157,7,7,157,121,111,157
311,267,267,267,267,266,266,265,265,36,36,267,186,182,267
312,51,51,51,51,51,51,51,51,9,9,51,33,32,51
313,19,19,19,19,19,19,10,10,0,0,19,6,6,19
314,89,89,89,89,89,89,89,89,0,0,89,61,56,89
315,179,179,179,179,179,179,179,179,0,0,179,126,121,179
316,33,33,33,33,33,33,33,33,2,2,33,24,23,33
317,187,186,187,187,186,186,186,186,0,0,187,117,111,187
318,509,509,509,509,509,509,506,506,7,7,509,363,350,509
319,205,205,205,205,205,205,202,202,18,18,205,121,106,205
321,178,178,178,178,178,178,178,178,3,3,178,138,127,178
322,20,20,20,20,20,20,20,20,3,3,20,13,13,20
323,33,33,33,33,33,33,33,33,0,0,33,21,20,33
324,290,290,290,290,290,290,288,288,0,0,290,187,164,290
325,660,660,660,660,660,660,648,648,3,3,660,408,356,660
326,412,412,412,412,411,411,407,407,13,13,412,243,228,412
327,287,286,287,287,287,287,283,283,0,0,287,152,119,287
328,155,155,155,155,155,155,153,153,0,0,155,70,61,155
329,340,340,340,340,340,340,335,335,0,0,340,185,164,340
33,1,1,1,1,1,1,1,1,0,0,1,0,0,1
330,321,321,321,321,321,321,310,310,0,0,321,214,197,321
331,26,26,26,26,26,26,26,26,11,11,26,20,20,26
332,119,119,119,119,119,119,115,115,1,1,119,60,55,119
333,193,193,193,193,193,193,193,193,0,0,193,110,95,193
334,248,248,248,248,248,248,247,247,3,3,248,84,78,248
335,265,265,265,265,265,265,260,260,1,1,265,175,158,265
336,118,118,118,118,118,118,118,118,10,10,118,80,74,118
337,270,269,270,270,270,270,267,267,0,0,270,154,135,270
338,99,99,99,99,99,99,97,97,0,0,99,41,32,99
339,142,142,142,142,142,142,141,141,6,6,142,72,63,142
340,16,16,16,16,16,16,16,16,2,2,16,10,10,16
341,121,120,121,121,121,121,119,119,20,20,121,72,69,121
342,369,369,369,369,369,369,354,354,2,2,369,243,230,369
343,210,210,210,210,210,210,206,206,5,5,210,100,87,210
344,129,128,129,129,129,129,127,127,0,0,129,59,53,129
345,245,245,245,245,245,245,236,236,2,2,245,114,101,245
346,126,126,126,126,126,126,125,125,2,2,126,67,51,126
347,281,281,281,281,281,281,272,272,0,0,281,161,153,281
348,88,88,88,88,88,88,87,87,0,0,88,47,46,88
349,212,212,212,212,212,212,209,209,2,2,212,97,91,212
350,246,246,246,246,246,246,244,244,0,0,246,120,101,246
351,77,77,77,77,77,77,75,75,10,10,77,43,41,77
352,140,140,140,140,139,139,139,139,0,0,140,77,72,140
353,181,181,181,181,181,181,180,180,0,0,181,128,124,181
354,33,33,33,33,33,33,33,33,0,0,33,19,16,33
355,91,91,91,91,91,91,91,91,0,0,91,38,35,91
356,570,570,570,570,570,570,565,565,0,0,570,493,488,570
357,75,75,75,75,75,75,75,75,0,0,75,30,29,75
358,107,107,107,107,106,106,106,106,37,37,107,69,67,107
359,18,18,18,18,18,18,16,16,0,0,18,4,4,18
360,2,2,2,2,2,2,2,2,0,0,2,2,2,2
361,27,27,27,27,27,27,27,27,9,9,27,16,16,27
364,18,18,18,18,18,18,18,18,15,15,18,16,16,18
365,1,1,1,1,1,1,1,1,0,0,1,0,0,1
366,151,151,151,151,151,151,149,149,0,0,151,68,60,151
369,11,11,11,11,11,11,11,11,7,7,11,8,8,11
370,289,288,289,289,289,289,282,282,3,3,289,118,108,289
371,15,15,15,15,15,15,15,15,8,8,15,13,13,15
372,3,3,3,3,3,3,3,3,0,0,3,1,1,3
374,2,2,2,2,2,2,2,2,0,0,2,0,0,2
375,3,3,3,3,3,3,3,3,0,0,3,1,1,3
376,1437,1436,1437,1437,1436,1436,1409,1409,0,0,1437,640,578,1437
377,91,91,91,91,91,91,91,91,0,0,91,39,35,91
378,4,4,4,4,4,4,3,3,0,0,4,3,3,4
379,1,1,1,1,1,1,1,1,0,0,1,1,1,1
380,64,64,64,64,64,64,63,63,0,0,64,36,34,64
381,17,17,17,17,17,17,17,17,6,6,17,14,14,17
382,1,1,1,1,1,1,1,1,0,0,1,1,1,1
383,2,2,2,2,2,2,2,2,0,0,2,1,1,2
384,11,11,11,11,11,11,11,11,0,0,11,1,1,11
385,40,40,40,40,40,40,40,40,0,0,40,15,14,40
386,2,2,2,2,2,2,1,1,0,0,2,1,1,2
387,4,4,4,4,4,4,4,4,0,0,4,2,2,4
388,2,2,2,2,2,2,2,2,0,0,2,1,1,2
389,6,6,6,6,6,6,6,6,0,0,6,6,6,6
390,104,104,104,104,104,104,103,103,1,1,104,56,56,104
391,44,44,44,44,44,44,44,44,5,5,44,14,14,44
392,8,8,8,8,8,8,8,8,0,0,8,7,7,8
393,6,6,6,6,6,6,6,6,0,0,6,2,1,6
394,13,13,13,13,13,13,13,13,0,0,13,2,2,13
