item_cd,item_name,category1_cd,category2_cd,category3_cd,itemnm,count,amount,f0_
4514657164467,Ｓｔｙｌｅ　ＯＮＥ　（新）　シャイン・モルト　５００ｍｌ,249,2508,763,スタイルワン_シャインモルト_５００ｍｌ_缶,10672,1378007,11681
4514657164474,ＳｔｙｌｅＯＮＥ　シャイン・モルト　５００ｍｌ×６缶（新）,249,2508,764,スタイルワン_シャインモルト_５００ｍｌ×６_缶,2239,1616160,2350
4514657164481,ＳｔｙｌｅＯＮＥ　シャイン・モルト　５００ｍｌケース（新）,249,2508,765,スタイルワン_シャインモルト_５００ｍｌ×２４_缶,62,200896,73
4514657164498,Ｓｔｙｌｅ　ＯＮＥ　（新）シャイン・モルト　糖質７０％オフ　３５０ｍｌ,249,2508,823,スタイルワン_シャインモルト糖質７０％オフ_３５０ｍｌ_缶,8249,768248,8731
4514657164504,ＳｔｙｌｅＯＮＥ　シャイン・モルト糖質７０％オフ　３５０ｍｌ×６缶（新）,249,2508,824,スタイルワン_シャインモルト糖質７０％オフ_３５０ｍｌ×６_缶,6115,3105612,6364
4514657164511,ＳｔｙｌｅＯＮＥ　シャイン・モルトＯＦＦ　３５０ｍｌケース,249,2508,825,スタイルワン_シャインモルト７０％オフ_３５０ｍｌ×２４_缶,266,542585,278
4514657164528,Ｓｔｙｌｅ　ＯＮＥ　（新）シャイン・モルト糖質７０％オフ　５００ｍｌ,249,2508,826,スタイルワン_シャインモルト糖質７０％オフ_５００ｍｌ_缶,10490,1359314,11525
4514657164535,ＳｔｙｌｅＯＮＥ　シャイン・モルト糖質７０％オフ　５００ｍｌ×６缶（新）,249,2508,827,スタイルワン_シャインモルト糖質７０％オフ_５００ｍｌ×６_缶,3046,2206416,3207
4514657164542,ＳｔｙｌｅＯＮＥ　シャイン・モルト糖質７０％オフ　５００ｍｌケース（新）,249,2508,828,スタイルワン_シャインモルト７０％オフ_５００ｍｌ×２４_缶,112,344000,125
4514874002016,ヴァルグラン　プレミアム　ルージュ　３７５ｍｌ,249,2495,339,ヴァルグラン　プレミアム　ルージュ　３７５ｍｌ,290,129822,297
4514874002023,ヴァルグラン　プレミアム　ブラン　３７５ｍｌ,249,2495,337,ヴァルグラン　プレミアム　ブラン　３７５ｍｌ,113,50804,116
4515057000058,天野酒　吉祥　１．８Ｌ,249,2492,326,西篠 天野酒吟醸吉祥 ﾋﾞﾝ 1800ml,3,11172,3
