item_cd_2,item_name_1,itemnm,count,amount,quantity
4582163124947,くらしモア　ストロングＣレモン　５００ｍｌ,富久娘酒造 くらしモアストロングチューハイ＜レモン＞_５００ｍｌ_缶,668,115286,977
4582163124961,くらしモア　ストロングＣＧＦ　５００ｍｌ,富久娘酒造 くらしモアストロングチューハイ＜グレープフルーツ＞_５００ｍｌ_缶,388,52628,446
4582163124985,くらしモア　ＳＣシークワーサー　５００ｍｌ,富久娘酒造 くらしモアストロングチューハイ＜シークヮーサー＞_５００ｍｌ_缶,218,36580,310
4582163125128,くらしモア　ストロングＣドライ　３５０ｍｌ,富久娘酒造 くらしモアストロングチューハイ＜ドライ＞_３５０ｍｌ_缶,262,32736,372
4582163125142,くらしモア　ストロングＣドライ　５００ｍｌ,富久娘酒造 くらしモアストロングチューハイ＜ドライ＞_５００ｍｌ_缶,424,71036,602
4582385520640,徳岡　有機酸いっぱい白Ｗ　１５００ｍｌ,グローバルＣ　葡萄の微風有機酸いっぱい白　１．５Ｌ,1,678,1
4582385520855,ヴィノシティー　カベルネソーヴィニヨン　７５０ｍｌ,ヴィノシティ　赤　瓶　７５０ｍｌ,1,578,1
4582385520879,ヴィノシティー　ソーヴィニヨンブラン　７５０ｍｌ,ヴィノシティ　白　瓶　７５０ｍｌ,1,578,1
4582404891577,パラシオ　デ　アングロナＳ　７５０ｍｌ,パラシオ　デ　アングロナ　セレクション　７５０ｍｌ,1,798,1
4582404891881,ミッシェル　Ｄ　キュベ　Ａ　ミュスカデ　シュールリー　オーガニック７５０ｍｌ,ミッシェル　デルオモアルモニＭシュールリ　７５０,1,1180,1
4582404892185,シャトーオ・ランドン　ボルドーシュペリュール　７５０ｍｌ,ＣＨオランドンＡＯＣボルドーシュペリュ　７５０ｍｌ,5,2694,3
4582404894448,シャトーオーヴューシェーヌ　オーガニック　７５０ｍｌ,シャトーオーヴューシェーヌ　　７５０ｍｌ,2,1796,2
4582404894899,シャトー　ラ　グランジュ　ドルレアン７５０ｍｌ,ＣＨ　ラグランジュ　ドルレアン　７５０ｍｌ,6,5388,6
4582410700924,徳岡　森のワイン　７５０ｍｌ,南アルプスワイン　森のワイン　赤　７５０ｍｌ,1,898,1
4582410702577,グランティエラ　バッグインボックス赤　３０００ｍｌ,南アルプスワイン　グランティエラ　赤　３Ｌ,10,13800,10
4582410702591,グランティエラ　バッグインボックス　白　３０００ｍｌ,南アルプスワイン　グランティエラ　白　３Ｌ,9,11520,9
4582410703024,徳岡　蜂角鷹　７００ｍｌ,徳岡 蜂角鷹_７００ｍｌ,15,13056,17
4582446740017,軽井沢浅間高原ビールプレミアムクリア　３５０ｍｌ,軽井沢ブルワリー ＴＨＥ軽井沢ビール_プレミアムクリア_３５０ｍｌ_缶,10,3300,10
4582446740338,軽井沢ビール　白ビール　ヴァイス　３５０ｍｌ,軽井沢ブルワリー ＴＨＥ軽井沢ビール_ヴァイス_３５０ｍｌ_缶,17,5035,19
4589470060074,黒木本店　中々　麦　２５度　７２０ｍｌ,黒木本店 中々_２５度_乙_麦_７２０ml,5,9400,5
