jancd,makercd,itemnm,itemkn,tanka,itemkikaku,itemtani,irisu,width,height,depth,jcat1cd,jcat2cd,jcat3cd,jcat4cd,jcatnm,scat1cd,scat2cd,scat3cd,scat4cd,scat1nm,scat2nm,scat3nm,scat4nm,syubaiflg,hatdate,instime,updtime,delete_flg
2400024056003,4901777,金麦　糖質75％オフ　350×6缶,,0,2100.0,ml,6,0,0,0,,,,,,014,041,004,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ機能系,0,,2017-09-13 00:00:00,2019-10-23 00:00:00,0
2400024056690,,濃い味＜糖質０＞　350ml,,0,350.0,ml,0,0,0,0,,,,,,014,041,004,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ機能系,0,,2017-09-13 00:00:00,2019-10-23 00:00:00,0
2400024061328,4901777,金麦　クリアラベル　350ml　（新）,,0,350.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-13 00:00:00,2019-10-23 00:00:00,0
2400024097341,4901411,氷結　12缶アソート,,0,0.0,,1,0,0,0,,,,,,014,083,003,002,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ中アル(4-7%),0,,2017-09-13 00:00:00,2019-10-23 00:00:00,0
2400024155782,4901004,もぎたて　6缶バラエティパック,,0,0.0,,0,0,0,0,,,,,,014,083,003,001,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ高アル(8%以上),0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024169710,4901777,サントリー ほろよいアソート_３５０ｍｌ×１２_缶,,0,4200.0,ml,1,0,0,0,,,,,,014,083,003,003,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ低アル(3%以下),0,,2017-09-20 00:00:00,2019-11-07 00:00:00,0
2400024170907,4901411,のどごし　350×6缶,,0,2100.0,ml,6,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024176848,4901004,クリアアサヒ　九州うまか仕込　350×6缶,,0,2100.0,ml,6,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024179610,4901411,のどごし　350ml,,0,350.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024179641,4901411,淡麗極上生　350ml,,0,350.0,ml,1,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
